Partlist

Exported from control-2011-b.brd at 10/16/2014 2:51:20 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation
R5       10.0k              R0603           rcl              (0.393 1.61)          R0
R6       220                RA_4_1206       resistor-array   (0.39 0.885)          R90
R7       10.0k              R0603           rcl              (1.294 1.417)         R0
R8       10.0k              R0603           rcl              (4.409 1.219)         R0
R9       150 1/8W           R0805           rcl              (3.31 3.89)           MR90
R10      220                R0603           rcl              (1.435 1.37)          R0
R11      NP                 R0603           rcl              (2.57 1.88)           R0
R12      10.0k              R0603           rcl              (2.57 1.8)            R180
R13      220                R0603           rcl              (2.408 2.273)         R0
R14      0                  R0603           rcl              (0.865 2.08)          R0
R15      0                  R0603           rcl              (0.79 2.35)           R0
R16      10.0k              R0603           rcl              (3.59 3.93)           MR270
R17      1k                 R0603           rcl              (2.6 0.475)           MR90
R18      10                 R0603           rcl              (0.831 0.129)         MR90
R19      10                 R0603           rcl              (1.122 0.682)         MR90
R20      10.0k              R0603           rcl              (0.921 1.05)          MR180
R21      10.0k              R0603           rcl              (1.089 1.051)         MR0
R22      10                 R0603           rcl              (0.45 0.126)          MR90
R23      10                 R0603           rcl              (0.748 0.686)         MR90
R24      10.0k              R0603           rcl              (0.539 1.051)         MR180
R25      10.0k              R0603           rcl              (0.711 1.05)          MR0
R26      10                 R0603           rcl              (1.207 0.129)         MR90
R27      10                 R0603           rcl              (1.5 0.684)           MR90
R28      10.0k              R0603           rcl              (1.292 1.05)          MR180
R29      10.0k              R0603           rcl              (1.463 1.049)         MR0
R30      10                 R0603           rcl              (1.551 3.653)         MR270
R31      10                 R0603           rcl              (1.255 3.1)           MR270
R32      10.0k              R0603           rcl              (1.46 2.71)           MR0
R33      10.0k              R0603           rcl              (1.29 2.71)           MR180
R34      10                 R0603           rcl              (1.17 3.655)          MR270
R35      10                 R0603           rcl              (0.88 3.096)          MR270
R36      10.0k              R0603           rcl              (1.081 2.712)         MR0
R37      10.0k              R0603           rcl              (0.913 2.712)         MR180
R38      10                 R0603           rcl              (0.797 3.655)         MR270
R39      10                 R0603           rcl              (0.507 3.095)         MR270
R40      10.0k              R0603           rcl              (0.708 2.713)         MR0
R41      10.0k              R0603           rcl              (0.532 2.716)         MR180
R42      10                 R0603           rcl              (4.494 3.646)         MR270
R43      10                 R0603           rcl              (4.202 3.098)         MR270
R44      10.0k              R0603           rcl              (4.41 2.719)          MR0
R45      10.0k              R0603           rcl              (4.24 2.72)           MR180
R46      10                 R0603           rcl              (4.119 3.647)         MR270
R47      10                 R0603           rcl              (3.825 3.1)           MR270
R48      10.0k              R0603           rcl              (4.035 2.719)         MR0
R49      10.0k              R0603           rcl              (3.86 2.717)          MR180
R50      10                 R0603           rcl              (3.742 3.648)         MR270
R51      10                 R0603           rcl              (3.449 3.099)         MR270
R52      10.0k              R0603           rcl              (3.66 2.717)          MR0
R53      10.0k              R0603           rcl              (3.485 2.715)         MR180
R54      10                 R0603           rcl              (4.205 0.135)         MR90
R55      10                 R0603           rcl              (4.51 0.677)          MR90
R56      10.0k              R0603           rcl              (4.299 1.051)         MR180
R57      10.0k              R0603           rcl              (4.47 1.051)          MR0
R58      10                 R0603           rcl              (3.824 0.131)         MR90
R59      10                 R0603           rcl              (4.121 0.677)         MR90
R60      10.0k              R0603           rcl              (3.915 1.05)          MR180
R61      10.0k              R0603           rcl              (4.086 1.05)          MR0
R62      10                 R0603           rcl              (3.449 0.129)         MR90
R63      10                 R0603           rcl              (3.747 0.673)         MR90
R64      10.0k              R0603           rcl              (3.541 1.051)         MR180
R65      10.0k              R0603           rcl              (3.709 1.05)          MR0
R66      10                 R0603           rcl              (3.375 3.642)         MR270
R67      10                 R0603           rcl              (3.069 3.1)           MR270
R68      10.0k              R0603           rcl              (3.274 2.707)         MR0
R69      10.0k              R0603           rcl              (3.103 2.709)         MR180
R70      10                 R0603           rcl              (3.002 3.646)         MR270
R71      10                 R0603           rcl              (2.698 3.099)         MR270
R72      10.0k              R0603           rcl              (2.899 2.708)         MR0
R73      10.0k              R0603           rcl              (2.732 2.707)         MR180
R74      10                 R0603           rcl              (2.623 3.652)         MR270
R75      10                 R0603           rcl              (2.323 3.099)         MR270
R76      10.0k              R0603           rcl              (2.522 2.708)         MR0
R77      10.0k              R0603           rcl              (2.358 2.708)         MR180
R78      5.6k               R0603           rcl              (1.785 3.8)           MR90
R79      220                R0603           rcl              (2.715 0.475)         MR270
R80      10.0k              R0603           rcl              (3.415 1.57)          R180
R81      68k                R0603           rcl              (2.608 0.784)         MR270
R82      10.0k              R0603           rcl              (2.783 0.784)         MR90
R83      52.3k              R0603           rcl              (0.42 1.895)          R90
R84      10.0K              R0603           rcl              (0.533 1.916)         R180
R85      220                RA_4_1206       resistor-array   (0.19 3.215)          MR0
R86      220                RA_4_1206       resistor-array   (4.44 2.775)          R270
R87      220                RA_4_1206       resistor-array   (4.845 0.805)         MR180
R88      220                RA_4_1206       resistor-array   (2.275 3.675)         MR0
R89      220                RA_2_0606       resistor-array   (0.375 1.375)         MR270
R90      220                RA_2_0606       resistor-array   (0.325 2.505)         MR0
R91      220                RA_2_0606       resistor-array   (4.62 2.575)          R90
R92      220                RA_2_0606       resistor-array   (4.64 1.285)          MR90
R93      27                 RA_2_0606       resistor-array   (4.38 1.41)           R180
R94      1.5k               R0603           rcl              (3.815 1.435)         R90
R95      10.0k              R0603           rcl              (1.855 0.8)           R0
R96      10.0k              R0603           rcl              (1.87 0.71)           R0
R97      10.0k              R0603           rcl              (1.695 2.95)          R180
R98      10.0k              R0603           rcl              (1.73 3.055)          R270
R99      10.0k              R0603           rcl              (1.585 2.735)         R90
R100     10.0k              R0603           rcl              (3.355 0.75)          MR270
R101     10k                RA_2_0606       resistor-array   (4.61 2.37)           MR180
R102     220                RA_4_1206       resistor-array   (0.545 1.75)          MR90
R103     220                RA_2_0606       resistor-array   (0.545 1.615)         MR270
R104     220                RA_4_1206       resistor-array   (1.995 1.18)          R0
R106     10.0k              R0603           rcl              (1.795 3.195)         MR270
R107     220                R0603           rcl              (4.63 1.72)           R90
R108     330k               R0603           rcl              (4.47 1.51)           R180
R109     330k               R0603           rcl              (4.575 1.945)         R270
R110     1.5k               R0603           rcl              (4.27 1.405)          R180
R111     10k                R0603           rcl              (4.63 1.57)           R90
R112     10.0k              R0603           rcl              (2.8 2.025)           MR90
R113     0                  R0603           rcl              (0.725 2.53)          R180
R114     0                  R0603           rcl              (0.725 2.715)         R180
R115     10.0k              R0603           rcl              (2.535 2.01)          R0
R116     10.0k              R0603           rcl              (4.1 1.64)            MR0
R117     220                RA_4_1206       resistor-array   (1.375 1.195)         R90
R118     220                RA_4_1206       resistor-array   (1.57 2.52)           R90
R119     220                RA_2_0606       resistor-array   (1.705 1.055)         R90
R120     220                RA_4_1206       resistor-array   (3.405 1.18)          R270
R122     220                RA_2_0606       resistor-array   (1.065 2.46)          MR0
R123     220                RA_2_0606       resistor-array   (4.24 2.64)           MR90
R124     220                RA_2_0606       resistor-array   (3.865 2.635)         MR90
R125     220                RA_2_0606       resistor-array   (3.49 2.635)          MR90
R128     220                RA_2_0606       resistor-array   (4.3 1.13)            MR90
R129     220                RA_2_0606       resistor-array   (3.095 2.63)          MR90
R130     220                RA_2_0606       resistor-array   (2.715 2.625)         MR90
R131     220                RA_2_0606       resistor-array   (2.405 2.63)          MR90
R132     10.0k              R0603           rcl              (1.75 2.605)          R270
R133     10.0k              R0603           rcl              (3.36 0.87)           MR180
R134     10.0k              R0603           rcl              (1.895 3.265)         MR270
S1       SWS004             SMS-004         smd-special      (2.945 1.09)          R180
S2                          B3F-31XX        switch-omron     (1.27 3.92)           R180
S3       2M1-DP1-T1-B1-M2QE 2M-DP-M2        switch-robocup   (2.26 0.265)          R180
S4       KMR2               KMR2            switch-robocup   (4.22 1.185)          R180
S5       94HBB16RAT         HEX-RA-2C       switch-robocup   (3.775 4)             R270
U1       XC3S100E           TQFP144         xilinx           (1.967 1.786)         R0
U2       M25P10             SO08            st_micro         (2.654 2.212)         MR0
U3       LM2734             SOT23-6L        power            (0.48 1.74)           R180
U4       MCP1824T-1202E/OT  SOT23-5         power            (0.565 2.49)          R270
U5       MCP1824T-2502E/OT  SOT23-5         power            (0.565 2.675)         R270
U6       TC4428             SO08            microchip        (0.978 0.845)         MR180
U7       AT91SAM7S64        SQFP-S-10X10-64 at91sam7         (3.605 1.915)         R90
U8       MCP1824ST-3302E/DB SOT223          power            (0.61 2.17)           R90
U9       TC4428             SO08            microchip        (0.603 0.845)         MR180
U10      ACS712             SO08            power            (1.63 0.715)          R270
U11      ACS712             SO08            power            (1.72 3.41)           R180
U12      TC4428             SO08            microchip        (1.353 0.845)         MR180
U13      ACS712             SO08            power            (2.075 2.755)         R90
U14      ACS712             SO08            power            (3.385 0.73)          R0
U15      TC4428             SO08            microchip        (1.4 2.92)            MR0
U16      ACS712             SO08            power            (2.075 3.41)          R90
U18      TC4428             SO08            microchip        (1.025 2.92)          MR0
U19      IMU3000            IMU3000         inertial-sensors (4.565 2.115)         MR0
U20      KXTF9-2050         KXTF9           inertial-sensors (4.575 1.815)         MR90
U21      TC4428             SO08            microchip        (0.65 2.92)           MR0
U24      TC4428             SO08            microchip        (4.35 2.92)           MR0
U27      TC4428             SO08            microchip        (3.975 2.92)          MR0
U30      TC4428             SO08            microchip        (3.6 2.92)            MR0
U33      TC4428             SO08            microchip        (4.36 0.845)          MR180
U36      TC4428             SO08            microchip        (3.975 0.845)         MR180
U39      TC4428             SO08            microchip        (3.6 0.845)           MR180
U42      TC4428             SO08            microchip        (3.215 2.92)          MR0
U45      TC4428             SO08            microchip        (2.84 2.92)           MR0
U48      TC4428             SO08            microchip        (2.465 2.92)          MR0
X1       18.432MHz          XTAL_LCC        oscillator       (1.885 1.27)          MR0
