Partlist

Exported from control-2014-a.brd at 12/27/2014 11:42:20 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library                Position (inch)       Orientation
R25      1.5k               R0603           rcl                    (3.665 1.285)         R90
R26      NP                 R0603           rcl                    (3.265 1.42)          R180
R27      220                R0603           rcl                    (2.24 0.14)           R90
R28      10                 R0603           rcl                    (2 0.245)             R0
R29      22                 RA_4_1206       resistor-array         (1.725 0.67)          R0
R30      220                RA_4_1206       resistor-array         (1.87 1.06)           R0
R31      220                R0603           rcl                    (1.35 1.17)           R0
R32      10.0k              R0603           rcl                    (1.224 1.227)         R0
R33      220                RA_4_1206       resistor-array         (0.305 0.735)         R90
R34      10.0k              R0603           rcl                    (0.243 1.46)          R0
R35      52.3k              R0603           rcl                    (0.27 1.745)          R90
R36      10.0k              R0603           rcl                    (0.383 1.766)         R180
R37      0                  R0603           rcl                    (0.715 1.93)          R0
R38      0                  R0603           rcl                    (0.64 2.2)            R0
R39      0                  R0603           rcl                    (0.575 2.38)          R180
R40      0                  R0603           rcl                    (0.575 2.565)         R180
R41      220                RA_4_1206       resistor-array         (0 3.1)               MR0
R42      10.0k              R0603           rcl                    (0.47 2.655)          MR180
R43      10.0k              R0603           rcl                    (0.66 2.755)          MR270
R44      22                 R0603           rcl                    (0.435 3.135)         MR90
R45      22                 R0603           rcl                    (0.515 3.135)         MR90
R46      10.0k              R0603           rcl                    (0.75 2.655)          MR180
R47      10.0k              R0603           rcl                    (0.98 2.755)          MR270
R48      22                 R0603           rcl                    (0.755 3.135)         MR90
R49      22                 R0603           rcl                    (0.835 3.135)         MR90
R50      10.0k              R0603           rcl                    (1.1 2.67)            MR180
R51      10.0k              R0603           rcl                    (1.3 2.755)           MR270
R52      22                 R0603           rcl                    (1.075 3.135)         MR90
R53      22                 R0603           rcl                    (1.155 3.135)         MR90
R54      220                RA_2_0606       resistor-array         (0.975 2.28)          MR0
R55      220                RA_4_1206       resistor-array         (1.6 3.62)            MR0
R56      220                RA_4_1206       resistor-array         (2.07 3.63)           MR0
R57      220                RA_2_0606       resistor-array         (2.355 2.595)         MR0
R58      10.0k              R0603           rcl                    (2.245 2.67)          MR180
R59      10.0k              R0603           rcl                    (2.445 2.755)         MR270
R60      22                 R0603           rcl                    (2.22 3.13)           MR90
R61      22                 R0603           rcl                    (2.3 3.13)            MR90
R62      220                RA_4_1206       resistor-array         (2.74 2.535)          MR0
R63      10.0k              R0603           rcl                    (2.555 2.655)         MR180
R64      10.0k              R0603           rcl                    (2.765 2.755)         MR270
R65      22                 R0603           rcl                    (2.54 3.13)           MR90
R66      22                 R0603           rcl                    (2.62 3.13)           MR90
R67      10.0k              R0603           rcl                    (2.895 2.655)         MR180
R68      10.0k              R0603           rcl                    (3.075 2.755)         MR270
R69      22                 R0603           rcl                    (2.86 3.13)           MR90
R70      22                 R0603           rcl                    (2.94 3.13)           MR90
R71      150 1/8W           R0805           rcl                    (2.7 3.745)           MR90
R72      100k               R0603           rcl                    (3 3.755)             MR270
R73      220                RA_4_1206       resistor-array         (3.735 2.525)         MR0
R74      10.0k              R0603           rcl                    (3.54 2.655)          MR180
R75      10.0k              R0603           rcl                    (3.73 2.755)          MR270
R76      22                 R0603           rcl                    (3.505 3.14)          MR90
R77      22                 R0603           rcl                    (3.585 3.135)         MR90
R78      10.0k              R0603           rcl                    (3.82 2.655)          MR180
R79      10.0k              R0603           rcl                    (4.05 2.755)          MR270
R80      22                 R0603           rcl                    (3.825 3.135)         MR90
R81      22                 R0603           rcl                    (3.905 3.135)         MR90
R82      220                RA_2_0606       resistor-array         (4.155 2.57)          MR90
R83      10.0k              R0603           rcl                    (4.17 2.67)           MR180
R84      10.0k              R0603           rcl                    (4.37 2.755)          MR270
R85      22                 R0603           rcl                    (4.145 3.135)         MR90
R86      22                 R0603           rcl                    (4.225 3.135)         MR90
R87      10.0k              R0603           rcl                    (2.734 2.061)         MR270
R88      10.0k              R0603           rcl                    (2.65 1.875)          MR90
R89      NP                 R0603           rcl                    (3.52 1.425)          MR180
R90      220                RA_2_0606       resistor-array         (4.49 1.145)          MR90
R91      220                RA_4_1206       resistor-array         (4.695 0.655)         MR180
R92      10.0k              R0603           rcl                    (4.165 0.89)          MR0
R93      10.0k              R0603           rcl                    (3.995 0.79)          MR90
R94      22                 R0603           rcl                    (4.22 0.41)           MR270
R95      22                 R0603           rcl                    (4.14 0.41)           MR270
R96      10.0k              R0603           rcl                    (3.845 0.89)          MR0
R97      10.0k              R0603           rcl                    (3.675 0.79)          MR90
R98      22                 R0603           rcl                    (3.9 0.41)            MR270
R99      22                 R0603           rcl                    (3.82 0.41)           MR270
R100     220                RA_2_0606       resistor-array         (3.37 0.955)          MR180
R101     10.0k              R0603           rcl                    (3.525 0.89)          MR0
R102     10.0k              R0603           rcl                    (3.355 0.79)          MR90
R103     22                 R0603           rcl                    (3.58 0.41)           MR270
R104     22                 R0603           rcl                    (3.5 0.41)            MR270
R105     100k               R0603           rcl                    (2.375 0.41)          MR0
R106     220                RA_4_1206       resistor-array         (2.635 0.35)          MR0
R107     10.0k              R0603           rcl                    (2.638 0.649)         MR90
R108     68k                R0603           rcl                    (2.5255 0.7485)       MR0
R109     56k                R0603           rcl                    (4.285 2.205)         R180
