Partlist

Exported from control-2011-a.brd at 10/16/2014 2:52:24 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation

U12      TC4428             SO08            microchip        (1.353 0.825)         MR180
U13      ACS712             SO08            power            (2.075 2.735)         R90
U14      ACS712             SO08            power            (3.385 0.71)          R0
U15      TC4428             SO08            microchip        (1.4 2.9)             MR0
U16      ACS712             SO08            power            (2.075 3.39)          R90
U17      ADXL345            ADXL345         inertial-sensors (4.455 1.74)          MR0
U18      TC4428             SO08            microchip        (1.025 2.9)           MR0
U19      IMU3000            IMU3000         inertial-sensors (4.46 2.125)          MR0
U21      TC4428             SO08            microchip        (0.65 2.9)            MR0
U24      TC4428             SO08            microchip        (4.35 2.9)            MR0
U27      TC4428             SO08            microchip        (3.975 2.9)           MR0
U30      TC4428             SO08            microchip        (3.6 2.9)             MR0
U33      TC4428             SO08            microchip        (4.36 0.825)          MR180
U36      TC4428             SO08            microchip        (3.975 0.825)         MR180
U39      TC4428             SO08            microchip        (3.6 0.825)           MR180
U42      TC4428             SO08            microchip        (3.215 2.9)           MR0
U45      TC4428             SO08            microchip        (2.84 2.9)            MR0
U48      TC4428             SO08            microchip        (2.465 2.9)           MR0
X1       18.432MHz          XTAL_LCC        oscillator       (1.885 1.25)          MR0
