Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R25,62,R_0603_1608Metric,119.025,-135.8,0.0,bottom
R26,62,R_0603_1608Metric,119.025,-137.4,0.0,bottom
R27,62,R_0603_1608Metric,119.025,-132.6,0.0,bottom
R28,62,R_0603_1608Metric,119.025,-134.2,0.0,bottom
R29,62,R_0603_1608Metric,119.025,-129.4,0.0,bottom
R3,1k,R_0603_1608Metric,177.95125,-103.33,180.0,bottom
R30,62,R_0603_1608Metric,119.025,-131.0,0.0,bottom
R31,10m,R_1206_3216Metric,118.5,-140.0,0.0,bottom
R32,1k,R_0603_1608Metric,120.8,-126.8,-90.0,top
R33,1k,R_0603_1608Metric,123.6,-125.8,180.0,top
R34,1k,R_0603_1608Metric,92.4,-150.2,90.0,bottom
R35,5.6k,R_0603_1608Metric,126.2,-126.8,-90.0,top
R36,5.6k,R_0603_1608Metric,123.6,-127.8,0.0,top
R37,10k,R_0603_1608Metric,125.5,-163.8,180.0,bottom
R38,120,R_0603_1608Metric,121.6,-171.2,180.0,bottom
R39,120,R_0603_1608Metric,133.0,-168.4,0.0,bottom
R4,68k,R_0603_1608Metric,160.2,-138.825,270.0,bottom
R40,62,R_0603_1608Metric,119.2,-161.2,0.0,bottom
R41,62,R_0603_1608Metric,119.2,-162.8,0.0,bottom
R42,62,R_0603_1608Metric,119.2,-158.0,0.0,bottom
R43,62,R_0603_1608Metric,119.2,-159.6,0.0,bottom
R44,62,R_0603_1608Metric,119.2,-154.8,0.0,bottom
R45,62,R_0603_1608Metric,119.2,-156.4,0.0,bottom
R46,10m,R_1206_3216Metric,116.4,-176.2,0.0,bottom
R47,1k,R_0603_1608Metric,127.025,-151.42,270.0,bottom
R48,1k,R_0603_1608Metric,129.625,-150.62,0.0,bottom
R49,1k,R_0603_1608Metric,86.825,-150.2,90.0,bottom
R5,10k,R_0603_1608Metric,161.825,-138.825,90.0,bottom
R50,5.6k,R_0603_1608Metric,132.225,-151.42,270.0,bottom
R51,5.6k,R_0603_1608Metric,129.625,-152.4,180.0,bottom
R52,10k,R_0603_1608Metric,174.0,-153.6,180.0,top
R53,120,R_0603_1608Metric,166.8,-170.4,180.0,bottom
R54,120,R_0603_1608Metric,178.2,-167.4,0.0,bottom
R55,62,R_0603_1608Metric,180.4,-156.6,180.0,bottom
R56,62,R_0603_1608Metric,180.4,-155.0,180.0,bottom
R57,62,R_0603_1608Metric,180.4,-159.8,180.0,bottom
R58,62,R_0603_1608Metric,180.4,-158.2,180.0,bottom
R59,62,R_0603_1608Metric,180.4,-163.0,180.0,bottom
R6,160k,R_0603_1608Metric,147.772262,-117.347262,0.0,top
R60,62,R_0603_1608Metric,180.4,-161.4,180.0,bottom
R61,10m,R_1206_3216Metric,184.15,-173.55,90.0,bottom
R62,1k,R_0603_1608Metric,181.0,-166.0,90.0,top
R63,1k,R_0603_1608Metric,178.425,-166.8,0.0,top
R64,1k,R_0603_1608Metric,207.225,-150.0,270.0,bottom
R65,5.6k,R_0603_1608Metric,175.8,-166.6,90.0,top
R66,5.6k,R_0603_1608Metric,178.425,-165.22,180.0,top
R67,10k,R_0603_1608Metric,173.8,-128.5,0.0,bottom
R68,120,R_0603_1608Metric,164.8,-125.15,0.0,top
R69,120,R_0603_1608Metric,174.0,-121.3,180.0,top
R7,43.2k,R_0603_1608Metric,150.622262,-114.997262,180.0,top
R70,62,R_0603_1608Metric,180.4,-131.2,180.0,bottom
R71,62,R_0603_1608Metric,180.4,-129.6,180.0,bottom
R72,62,R_0603_1608Metric,180.4,-134.4,180.0,bottom
R73,62,R_0603_1608Metric,180.4,-132.8,180.0,bottom
R74,62,R_0603_1608Metric,180.375,-137.6,180.0,bottom
R75,62,R_0603_1608Metric,180.4,-136.0,180.0,bottom
R76,10m,R_1206_3216Metric,184.95,-140.55,180.0,bottom
R77,1k,R_0603_1608Metric,177.4,-139.4,90.0,top
R78,1k,R_0603_1608Metric,174.8,-140.4,0.0,top
R79,1k,R_0603_1608Metric,213.0,-150.0125,270.0,bottom
R8,10k,R_0603_1608Metric,138.177799,-132.2,0.0,top
R80,5.6k,R_0603_1608Metric,172.2,-139.4,90.0,top
R81,5.6k,R_0603_1608Metric,174.8,-138.6,180.0,top
R82,10k,R_0603_1608Metric,130.625,-119.2,180.0,bottom
R83,62,R_0603_1608Metric,123.16,-116.5,0.0,bottom
R84,62,R_0603_1608Metric,123.16,-118.1,0.0,bottom
R85,62,R_0603_1608Metric,123.16,-113.3,0.0,bottom
R86,62,R_0603_1608Metric,123.16,-114.9,0.0,bottom
R87,62,R_0603_1608Metric,123.16,-110.1,0.0,bottom
R88,62,R_0603_1608Metric,123.16,-111.7,0.0,bottom
R89,10m,R_1206_3216Metric,96.4,-116.2,90.0,bottom
R9,3k,R_0603_1608Metric,138.2,-134.1,0.0,top
R90,1k,R_0603_1608Metric,126.0,-107.4,270.0,bottom
R91,1k,R_0603_1608Metric,128.775,-106.8,0.0,bottom
R92,1k,R_0603_1608Metric,130.4,-88.1,0.0,top
R93,7.5k,R_0603_1608Metric,131.6,-107.4,270.0,bottom
R94,7.5k,R_0603_1608Metric,128.8,-108.6,180.0,bottom
R95,R,R_0603_1608Metric,110.81,-87.64,0.0,bottom
R96,R,R_0603_1608Metric,114.04,-87.64,180.0,bottom
R97,R,R_0603_1608Metric,117.245,-87.64,180.0,bottom
SW1,B3J-1100,B3J-1000,188.65,-91.1,90.0,top
U1,MPM3620GQV-P,MPM3620GQVP,145.222262,-112.484762,180.0,top
U10,STSPIN32F0A,IC_STSPIN32F0A,125.8,-159.2,180.0,top
U11,SN75157DR,SOIC127P599X175-8N,127.4,-168.8,180.0,bottom
U12,SN74LVC3G17DCUR,SOP50P310X90-8N,127.45,-167.55,0.0,top
U13,SN74LVC3G17DCUR,SOP50P310X90-8N,121.35,-167.5,180.0,top
U14,STSPIN32F0A,IC_STSPIN32F0A,173.5,-159.0,0.0,top
U15,SN75157DR,SOIC127P599X175-8N,172.6,-168.0,180.0,bottom
U16,SN74LVC3G17DCUR,SOP50P310X90-8N,168.75,-166.85,90.0,top
U17,SN74LVC3G17DCUR,SOP50P310X90-8N,172.675,-166.85,90.0,top
U18,STSPIN32F0A,IC_STSPIN32F0A,173.5,-133.5,0.0,top
U19,SN75157DR,SOIC127P599X175-8N,169.495,-122.13,90.0,top
U2,FSV10100V,DIO_10100V_ONS,138.8001,-126.2,90.0,top
U20,SN74LVC3G17DCUR,SOP50P310X90-8N,173.0,-140.2,0.0,bottom
U21,SN74LVC3G17DCUR,SOP50P310X90-8N,169.65,-123.8,270.0,bottom
U22,STSPIN32F0A,IC_STSPIN32F0A,130.075,-114.0,180.0,top
U23,SN74LVC3G17DCUR,SOP50P310X90-8N,122.025,-101.45,270.0,bottom
U3,VN5E006ASPTR-E,SO_E006ASP-E_STM,150.0,-133.0,180.0,top
U4,MPM3620GQV-P,MPM3620GQVP,161.25,-112.4375,180.0,top
U5,LTC2955-1,SOT65P280X100-8N,175.55,-91.0,270.0,bottom
U6,STSPIN32F0A,IC_STSPIN32F0A,125.93,-133.5,180.0,top
U7,SN75157DR,SOIC127P599X175-8N,126.2,-125.2,0.0,bottom
U8,SN74LVC3G17DCUR,SOP50P310X90-8N,127.4,-139.8,180.0,bottom
U9,SN74LVC3G17DCUR,SOP50P310X90-8N,129.2,-125.8,-90.0,top
X1,01530007Z,FUSE_01530007Z,150.05,-154.59555,180.0,top
