Partlist

Exported from control-2011-c.brd at 10/16/2014 2:49:54 AM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library          Position (inch)       Orientation
R26      10                 R0603           rcl              (1.327 -0.021)        MR90
R27      10                 R0603           rcl              (1.62 0.534)          MR90
R28      10.0k              R0603           rcl              (1.412 0.9)           MR180
R29      10.0k              R0603           rcl              (1.583 0.899)         MR0
R30      10                 R0603           rcl              (1.401 3.503)         MR270
R31      10                 R0603           rcl              (1.105 2.95)          MR270
R32      10.0k              R0603           rcl              (1.31 2.56)           MR0
R33      10.0k              R0603           rcl              (1.14 2.56)           MR180
R34      10                 R0603           rcl              (1.02 3.505)          MR270
R35      10                 R0603           rcl              (0.73 2.946)          MR270
R36      10.0k              R0603           rcl              (0.931 2.562)         MR0
R37      10.0k              R0603           rcl              (0.763 2.562)         MR180
R38      10                 R0603           rcl              (0.647 3.505)         MR270
R39      10                 R0603           rcl              (0.357 2.945)         MR270
R40      10.0k              R0603           rcl              (0.558 2.563)         MR0
R41      10.0k              R0603           rcl              (0.382 2.566)         MR180
R42      10                 R0603           rcl              (4.344 3.496)         MR270
R43      10                 R0603           rcl              (4.052 2.948)         MR270
R44      10.0k              R0603           rcl              (4.26 2.569)          MR0
R45      10.0k              R0603           rcl              (4.09 2.57)           MR180
R46      10                 R0603           rcl              (3.969 3.497)         MR270
R47      10                 R0603           rcl              (3.675 2.95)          MR270
R48      10.0k              R0603           rcl              (3.885 2.569)         MR0
R49      10.0k              R0603           rcl              (3.71 2.567)          MR180
R50      10                 R0603           rcl              (3.592 3.498)         MR270
R51      10                 R0603           rcl              (3.299 2.949)         MR270
R52      10.0k              R0603           rcl              (3.51 2.567)          MR0
R53      10.0k              R0603           rcl              (3.335 2.565)         MR180
R54      10                 R0603           rcl              (4.055 -0.015)        MR90
R55      10                 R0603           rcl              (4.36 0.527)          MR90
R56      10.0k              R0603           rcl              (4.149 0.901)         MR180
R57      10.0k              R0603           rcl              (4.32 0.901)          MR0
R58      10                 R0603           rcl              (3.674 -0.019)        MR90
R59      10                 R0603           rcl              (3.971 0.527)         MR90
R60      10.0k              R0603           rcl              (3.765 0.9)           MR180
R61      10.0k              R0603           rcl              (3.936 0.9)           MR0
R62      10                 R0603           rcl              (3.299 -0.021)        MR90
R63      10                 R0603           rcl              (3.597 0.523)         MR90
R64      10.0k              R0603           rcl              (3.391 0.901)         MR180
R65      10.0k              R0603           rcl              (3.559 0.9)           MR0
R66      10                 R0603           rcl              (3.225 3.492)         MR270
R67      10                 R0603           rcl              (2.919 2.95)          MR270
R68      10.0k              R0603           rcl              (3.124 2.557)         MR0
R69      10.0k              R0603           rcl              (2.953 2.559)         MR180
R70      10                 R0603           rcl              (2.852 3.496)         MR270
R71      10                 R0603           rcl              (2.548 2.949)         MR270
R72      10.0k              R0603           rcl              (2.749 2.558)         MR0
R73      10.0k              R0603           rcl              (2.582 2.557)         MR180
R74      10                 R0603           rcl              (2.473 3.502)         MR270
R75      10                 R0603           rcl              (2.173 2.949)         MR270
R76      10.0k              R0603           rcl              (2.372 2.558)         MR0
R77      10.0k              R0603           rcl              (2.208 2.558)         MR180
R78      5.6k               R0603           rcl              (1.195 3.63)          R180
R79      220                R0603           rcl              (2.565 0.325)         MR270
R80      NP                 R0603           rcl              (3.265 1.42)          R180
R81      68k                R0603           rcl              (2.458 0.634)         MR270
R82      10.0k              R0603           rcl              (2.633 0.634)         MR90
R83      52.3k              R0603           rcl              (0.27 1.745)          R90
R84      10.0k              R0603           rcl              (0.383 1.766)         R180
R85      220                RA_4_1206       resistor-array   (0.04 3.065)          MR0
R86      220                RA_4_1206       resistor-array   (4.29 2.625)          R270
R87      220                RA_4_1206       resistor-array   (4.695 0.655)         MR180
R88      220                RA_4_1206       resistor-array   (2.07 3.62)           MR0
R89      220                RA_2_0606       resistor-array   (0.225 1.225)         MR270
R90      220                RA_2_0606       resistor-array   (0.175 2.355)         MR0
R91      220                RA_2_0606       resistor-array   (4.47 2.425)          R90
R92      220                RA_2_0606       resistor-array   (4.49 1.135)          MR90
R93      27                 RA_2_0606       resistor-array   (4.23 1.26)           R180
R94      1.5k               R0603           rcl              (3.665 1.285)         R90
R95      56k                R0603           rcl              (4.285 2.205)         R180
R96      10.0k              R0603           rcl              (1.8 2.765)           R180
R97      10.0k              R0603           rcl              (1.915 2.845)         R0
R102     0                  R0603           rcl              (0.565 1.9)           MR0
R103     220                RA_2_0606       resistor-array   (0.395 1.63)          MR270
R104     220                RA_4_1206       resistor-array   (1.87 1.06)           R0
R105     NP                 R0603           rcl              (3.52 1.425)          MR180
R107     220                R0603           rcl              (4.48 1.57)           R90
R108     330k               R0603           rcl              (4.32 1.36)           R180
R109     330k               R0603           rcl              (4.425 1.795)         R270
R110     1.5k               R0603           rcl              (4.12 1.255)          R180
R111     10.0k              R0603           rcl              (4.48 1.42)           R90
R112     10.0k              R0603           rcl              (2.65 1.875)          MR90
R113     0                  R0603           rcl              (0.575 2.38)          R180
R114     0                  R0603           rcl              (0.575 2.565)         R180
R115     NP                 R0603           rcl              (2.385 1.86)          R0
R116     10.0k              R0603           rcl              (3.84 1.8)            R270
R117     220                RA_4_1206       resistor-array   (1.225 1.045)         R90
R118     220                RA_4_1206       resistor-array   (1.42 2.37)           R90
R119     220                RA_2_0606       resistor-array   (1.64 0.945)          R90
R120     220                RA_4_1206       resistor-array   (3.255 1.03)          R270
R122     220                RA_2_0606       resistor-array   (0.965 2.275)         MR0
R123     220                RA_2_0606       resistor-array   (4.09 2.49)           MR90
R124     220                RA_2_0606       resistor-array   (3.715 2.485)         MR90
R125     220                RA_2_0606       resistor-array   (3.34 2.485)          MR90
R128     220                RA_2_0606       resistor-array   (4.15 0.98)           MR90
R129     220                RA_2_0606       resistor-array   (2.945 2.48)          MR90
R130     220                RA_2_0606       resistor-array   (2.565 2.475)         MR90
R131     220                RA_2_0606       resistor-array   (2.255 2.48)          MR90
S1       SWS004             SMS-004         smd-special      (2.795 0.94)          R0
S2                          B3F-31XX        switch-omron     (0.34 3.77)           R180
S3       M2022S2A2W30       M202X-30        switch-robocup   (2.085 -0.065)        R0
S4       KMR2               KMR2            switch-robocup   (4.07 1.035)          R180
S5       94HBB16RAT         HEX-RA-2C       switch-robocup   (3.38 3.865)          R270
U1       XC3S100E           TQFP144         xilinx           (1.817 1.636)         R0
U2       M25P10             SO08            st_micro         (2.504 2.062)         MR0
U3       LM2734             SOT23-6L        power            (0.33 1.59)           R180
U4       MCP1824T-1202E/OT  SOT23-5         power            (0.415 2.34)          R270
U5       MCP1824T-2502E/OT  SOT23-5         power            (0.415 2.525)         R270
U6       TC4428             SO08            microchip        (1.098 0.695)         MR180
U7       AT91SAM7S256       SQFP-S-10X10-64 at91sam7         (3.455 1.765)         R90
U8       MCP1824ST-3302E/DB SOT223          power            (0.46 2.02)           R90
U9       TC4428             SO08            microchip        (0.403 0.695)         MR180
U10      CC1101             QLP20           radio            (4.2 2.06)            R0
U12      TC4428             SO08            microchip        (1.473 0.695)         MR180
