Partlist

Exported from mainpcb.sch at 1/21/2014 6:55:47 PM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Device                Package         Library          Sheet
R29      10.0k              R-US_R0603            R0603           rcl              2
R30      10                 R-US_R0603            R0603           rcl              2
R31      10                 R-US_R0603            R0603           rcl              2
R32      10.0k              R-US_R0603            R0603           rcl              2
R33      10.0k              R-US_R0603            R0603           rcl              2
R34      10                 R-US_R0603            R0603           rcl              2
R35      10                 R-US_R0603            R0603           rcl              2
R36      10.0k              R-US_R0603            R0603           rcl              2
R37      10.0k              R-US_R0603            R0603           rcl              2
R38      10                 R-US_R0603            R0603           rcl              2
R39      10                 R-US_R0603            R0603           rcl              2
R40      10.0k              R-US_R0603            R0603           rcl              2
R41      10.0k              R-US_R0603            R0603           rcl              2
R42      10                 R-US_R0603            R0603           rcl              2
R43      10                 R-US_R0603            R0603           rcl              2
R44      10.0k              R-US_R0603            R0603           rcl              2
R45      10.0k              R-US_R0603            R0603           rcl              2
R46      10                 R-US_R0603            R0603           rcl              2
R47      10                 R-US_R0603            R0603           rcl              2
R48      10.0k              R-US_R0603            R0603           rcl              2
R49      10.0k              R-US_R0603            R0603           rcl              2
R50      10                 R-US_R0603            R0603           rcl              2
R51      10                 R-US_R0603            R0603           rcl              2
R52      10.0k              R-US_R0603            R0603           rcl              2
R53      10.0k              R-US_R0603            R0603           rcl              2
R54      10                 R-US_R0603            R0603           rcl              2
R55      10                 R-US_R0603            R0603           rcl              2
R56      10.0k              R-US_R0603            R0603           rcl              2
R57      10.0k              R-US_R0603            R0603           rcl              2
R58      10                 R-US_R0603            R0603           rcl              2
R59      10                 R-US_R0603            R0603           rcl              2
R60      10.0k              R-US_R0603            R0603           rcl              2
R61      10.0k              R-US_R0603            R0603           rcl              2
R62      10                 R-US_R0603            R0603           rcl              2
R63      10                 R-US_R0603            R0603           rcl              2
R64      10.0k              R-US_R0603            R0603           rcl              2
R65      10.0k              R-US_R0603            R0603           rcl              2
R66      10                 R-US_R0603            R0603           rcl              2
R67      10                 R-US_R0603            R0603           rcl              2
R68      10.0k              R-US_R0603            R0603           rcl              2
