Partlist

Exported from control-2008-a.brd at 12/27/2014 11:47:06 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package      Library      Position (inch)       Orientation

R89      220                R0603        rcl          (0.525 2.59)          R0
R90      220                R0603        rcl          (0.369 2.534)         R0
R91      220                R0603        rcl          (0.369 2.434)         R0
R92      220                R0603        rcl          (0.371 2.333)         R0
R93      4.7K               R0603        rcl          (3.812 3.757)         R0
R94      220                R0603        rcl          (4.542 3.674)         R0
S1       SWS004             SMS-004      smd-special  (3.175 3.425)         R90
T1       MMBTA06LT1         SOT23        transistor   (1.229 1.215)         MR0
T2                          SOT-23       zetex        (4.694 3.675)         R270
U$1      XC3S_TQ144         TQFP144      xilinx       (2.646 1.983)         R270
U$2      M25P10             SO08         st_micro     (0.329 1.337)         MR0
U$3      JST_PA_6           JST_PA_6     jst_pa       (0.146 1.338)         R270
U$4      JST_PA_8           JST_PA_8     jst_pa       (0.729 3.935)         R0
U$5      ADP1711-1.2        SOT23-5      analog       (0.725 1.279)         R0
U$6      TC4428             SO08         microchip    (0.978 0.825)         MR180
U$7      NTMS10P02R2        SO8          onsemi       (0.978 0.175)         MR0
U$8      NTMS4503N          SO8          onsemi       (0.978 0.5)           MR180
U$9      TC4428             SO08         microchip    (0.603 0.825)         MR180
U$10     NTMS10P02R2        SO8          onsemi       (0.603 0.175)         MR0
U$11     NTMS4503N          SO8          onsemi       (0.603 0.5)           MR180
U$12     TC4428             SO08         microchip    (1.353 0.825)         MR180
U$13     NTMS10P02R2        SO8          onsemi       (1.353 0.175)         MR0
U$14     NTMS4503N          SO8          onsemi       (1.353 0.5)           MR180
U$15     TC4428             SO08         microchip    (1.4 2.9)             MR0
U$16     NTMS10P02R2        SO8          onsemi       (1.4 3.6)             MR180
U$17     NTMS4503N          SO8          onsemi       (1.4 3.25)            MR0
U$18     TC4428             SO08         microchip    (1.025 2.9)           MR0
U$19     NTMS10P02R2        SO8          onsemi       (1.025 3.6)           MR180
U$20     NTMS4503N          SO8          onsemi       (1.025 3.25)          MR0
U$21     TC4428             SO08         microchip    (0.65 2.9)            MR0
U$22     NTMS10P02R2        SO8          onsemi       (0.65 3.6)            MR180
U$23     NTMS4503N          SO8          onsemi       (0.65 3.25)           MR0
U$24     TC4428             SO08         microchip    (4.34 3.05)           R0
U$25     NTMS10P02R2        SO8          onsemi       (4.35 3.6)            MR180
U$26     NTMS4503N          SO8          onsemi       (4.35 3.25)           MR0
U$27     TC4428             SO08         microchip    (3.965 3.05)          R0
U$28     NTMS10P02R2        SO8          onsemi       (3.975 3.6)           MR180
U$29     NTMS4503N          SO8          onsemi       (3.975 3.25)          MR0
U$30     TC4428             SO08         microchip    (3.59 3.05)           R0
U$31     NTMS10P02R2        SO8          onsemi       (3.6 3.6)             MR180
U$32     NTMS4503N          SO8          onsemi       (3.6 3.25)            MR0
U$33     TC4428             SO08         microchip    (4.29 0.735)          R180
U$34     NTMS10P02R2        SO8          onsemi       (4.36 0.176)          MR0
U$35     NTMS4503N          SO8          onsemi       (4.36 0.526)          MR180
U$36     TC4428             SO08         microchip    (3.95 0.735)          R180
U$37     NTMS10P02R2        SO8          onsemi       (3.975 0.175)         MR0
U$38     NTMS4503N          SO8          onsemi       (3.975 0.525)         MR180
