Designator,Mid X,Mid Y,Rotation,Layer
R8,150.622262,-112.952738,180.0,top
R80,123.16,-110.1,0.0,bottom
R81,123.16,-111.7,0.0,bottom
R82,96.4,-116.2,90.0,bottom
R83,126.0,-107.4,270.0,bottom
R84,128.775,-106.8,0.0,bottom
R85,131.6,-107.4,270.0,bottom
R86,128.8,-108.6,180.0,bottom
R87,86.825,-150.2,90.0,bottom
R89,207.225,-150.0,270.0,bottom
R9,166.8,-114.85,180.0,top
R90,176.15,-95.0,270.0,bottom
R91,178.16,-91.5,90.0,bottom
R93,213.0,-150.0125,270.0,bottom
SW1,188.65,-91.1,90.0,top
U10,129.2,-125.8,270.0,top
U11,125.8,-159.2,180.0,top
U12,127.45,-167.55,0.0,top
U13,121.35,-167.5,180.0,top
U14,173.5,-159.0,0.0,top
U15,168.75,-166.85,90.0,top
U16,172.675,-166.85,90.0,top
U17,173.5,-133.5,0.0,top
U18,173.0,-140.2,0.0,bottom
U19,169.65,-123.8,270.0,bottom
U20,130.075,-114.0,180.0,top
U201,126.2,-125.2,0.0,bottom
U21,122.025,-101.45,270.0,bottom
U3,145.222262,-112.197262,180.0,top
U301,127.4,-168.8,180.0,bottom
U4,138.8763,-126.2,90.0,top
U401,172.6,-168.0,180.0,bottom
U5,150.0,-133.0,180.0,top
U501,169.495,-122.13,90.0,top
U6,161.25,-112.15,180.0,top
U7,175.55,-91.0,270.0,bottom
U8,125.93,-133.5,180.0,top
U9,127.4,-139.8,180.0,bottom
X1,150.05,-154.59555,180.0,bottom
